Subject_Name,Student_Name,Approve
Art,Alice Azure,NO
Art,Alice Black,NO
Art,Alice Blue,NO
Art,Alice Brown,NO
Art,Alice Cyan,YES
Art,Alice Davis,NO
Art,Alice Gray,YES
Art,Alice Green,NO
Art,Alice Indigo,NO
Art,Alice Johnson,NO
Art,Alice Magenta,NO
Art,Alice Orange,YES
Art,Alice Pink,NO
Art,Alice Purple,NO
Art,Alice Red,NO
Art,Alice Teal,NO
Art,Alice Violet,YES
Art,Alice White,NO
Art,Alice Yellow,NO
Art,Bob Azure,YES
Art,Bob Beige,YES
Art,Bob Black,NO
Art,Bob Blue,YES
Art,Bob Brown,NO
Art,Bob Cyan,YES
Art,Bob Davis,NO
Art,Bob Gray,NO
Art,Bob Green,NO
Art,Bob Indigo,NO
Art,Bob Johnson,NO
Art,Bob Magenta,YES
Art,Bob Orange,NO
Art,Bob Pink,YES
Art,Bob Purple,NO
Art,Bob Red,NO
Art,Bob Teal,NO
Art,Bob Violet,NO
Art,Bob White,NO
Art,Bob Yellow,NO
Art,Charlie Azure,NO
Art,Charlie Beige,NO
Art,Charlie Black,NO
Art,Charlie Blue,NO
Art,Charlie Brown,YES
Art,Charlie Cyan,NO
Art,Charlie Davis,NO
Art,Charlie Gray,NO
Art,Charlie Green,NO
Art,Charlie Indigo,NO
Art,Charlie Johnson,NO
Art,Charlie Magenta,NO
Art,Charlie Orange,NO
Art,Charlie Pink,NO
Art,Charlie Purple,NO
Art,Charlie Red,NO
Art,Charlie Teal,NO
Art,Charlie Violet,NO
Art,Charlie White,NO
Art,Charlie Yellow,NO
Art,Dana Azure,NO
Art,Dana Beige,NO
Art,Dana Black,NO
Art,Dana Blue,NO
Art,Dana Brown,NO
Art,Dana Cyan,NO
Art,Dana Davis,YES
Art,Dana Gray,YES
Art,Dana Green,NO
Art,Dana Indigo,NO
Art,Dana Johnson,NO
Art,Dana Magenta,NO
Art,Dana Orange,NO
Art,Dana Pink,NO
Art,Dana Purple,NO
Art,Dana Red,NO
Art,Dana Teal,NO
Art,Dana Violet,NO
Art,Dana White,NO
Art,Dana Yellow,NO
Art,Eve Azure,NO
Art,Eve Beige,NO
Art,Eve Black,NO
Art,Eve Blue,NO
Art,Eve Brown,NO
Art,Eve Cyan,NO
Art,Eve Davis,NO
Art,Eve Gray,NO
Art,Eve Green,NO
Art,Eve Indigo,NO
Art,Eve Johnson,NO
Art,Eve Magenta,NO
Art,Eve Orange,NO
Art,Eve Pink,NO
Art,Eve Purple,NO
Art,Eve Red,NO
Art,Eve Teal,NO
Art,Eve Violet,YES
Art,Eve White,NO
Art,Eve Yellow,NO
Art,Frank Azure,NO
Art,Frank Beige,NO
Art,Frank Black,NO
Art,Frank Blue,NO
Art,Frank Brown,NO
Art,Frank Cyan,NO
Art,Frank Davis,NO
Art,Frank Gray,NO
Art,Frank Green,NO
Art,Frank Indigo,YES
Art,Frank Johnson,NO
Art,Frank Magenta,NO
Art,Frank Orange,NO
Art,Frank Pink,NO
Art,Frank Purple,NO
Art,Frank Red,NO
Art,Frank Teal,NO
Art,Frank Violet,YES
Art,Frank White,NO
Art,Frank Yellow,NO
Art,Grace Azure,YES
Art,Grace Beige,NO
Art,Grace Black,NO
Art,Grace Blue,NO
Art,Grace Brown,YES
Art,Grace Cyan,NO
Art,Grace Davis,NO
